"Subject","Session","Set","Rep","PV"
2,"CLU_1",1,"Rep7",0.666635208
3,"CLU_1",1,"Rep7",-4.759867427
4,"CLU_1",1,"Rep7",-0.439792014
5,"CLU_1",1,"Rep7",-3.326587232
6,"CLU_1",1,"Rep7",-4.916355777
7,"CLU_1",1,"Rep7",-5.19127605
8,"CLU_1",1,"Rep7",-1.989544607
9,"CLU_1",1,"Rep7",-2.388345753
10,"CLU_1",1,"Rep7",-1.540009633
11,"CLU_1",1,"Rep7",-5.958853894
12,"CLU_1",1,"Rep7",-3.561904981
13,"CLU_1",1,"Rep7",-3.056668048
14,"CLU_1",1,"Rep7",7.607388913
15,"CLU_1",1,"Rep7",2.258419889
16,"CLU_1",1,"Rep7",-3.440285323
17,"CLU_1",1,"Rep7",-0.882800694
18,"CLU_1",1,"Rep7",0.837975706
19,"CLU_1",1,"Rep7",-0.768542198
20,"CLU_1",1,"Rep7",-1.613634153
1,"CLU_1",1,"Rep8",-7.31850967
2,"CLU_1",1,"Rep8",-2.889177264
3,"CLU_1",1,"Rep8",-5.35416631
4,"CLU_1",1,"Rep8",1.676383677
5,"CLU_1",1,"Rep8",7.44870804
6,"CLU_1",1,"Rep8",-5.120026963
7,"CLU_1",1,"Rep8",-3.14039943
8,"CLU_1",1,"Rep8",-1.796413502
9,"CLU_1",1,"Rep8",0.004802159
10,"CLU_1",1,"Rep8",-3.01426949
11,"CLU_1",1,"Rep8",-4.320640383
12,"CLU_1",1,"Rep8",-2.02608873
13,"CLU_1",1,"Rep8",-4.263653954
14,"CLU_1",1,"Rep8",8.035986546
15,"CLU_1",1,"Rep8",3.289626104
16,"CLU_1",1,"Rep8",0.301932167
17,"CLU_1",1,"Rep8",-1.720705307
18,"CLU_1",1,"Rep8",1.503043246
19,"CLU_1",1,"Rep8",-1.92994114
20,"CLU_1",1,"Rep8",-2.70130218
1,"CLU_1",1,"Rep9",-6.371828476
2,"CLU_1",1,"Rep9",-5.039143053
3,"CLU_1",1,"Rep9",-4.30818202
4,"CLU_1",1,"Rep9",-1.422421317
5,"CLU_1",1,"Rep9",5.797576268
6,"CLU_1",1,"Rep9",-3.865220626
7,"CLU_1",1,"Rep9",-4.015314685
8,"CLU_1",1,"Rep9",-2.776780079
9,"CLU_1",1,"Rep9",-2.09465865
10,"CLU_1",1,"Rep9",-2.273732837
11,"CLU_1",1,"Rep9",-4.50806713
12,"CLU_1",1,"Rep9",-3.100248018
13,"CLU_1",1,"Rep9",-3.727430269
14,"CLU_1",1,"Rep9",-1.684890488
15,"CLU_1",1,"Rep9",2.321829431
16,"CLU_1",1,"Rep9",-1.291216028
17,"CLU_1",1,"Rep9",-2.865508702
18,"CLU_1",1,"Rep9",0.929622775
19,"CLU_1",1,"Rep9",-4.747556647
20,"CLU_1",1,"Rep9",-2.180566874
1,"CLU_1",2,"Rep1",0
2,"CLU_1",2,"Rep1",0
3,"CLU_1",2,"Rep1",0
4,"CLU_1",2,"Rep1",0
5,"CLU_1",2,"Rep1",0
6,"CLU_1",2,"Rep1",0
7,"CLU_1",2,"Rep1",0
8,"CLU_1",2,"Rep1",0
9,"CLU_1",2,"Rep1",0
10,"CLU_1",2,"Rep1",0
11,"CLU_1",2,"Rep1",0
12,"CLU_1",2,"Rep1",0
13,"CLU_1",2,"Rep1",0
14,"CLU_1",2,"Rep1",0
15,"CLU_1",2,"Rep1",0
16,"CLU_1",2,"Rep1",0
17,"CLU_1",2,"Rep1",0
18,"CLU_1",2,"Rep1",0
19,"CLU_1",2,"Rep1",0
20,"CLU_1",2,"Rep1",NA
1,"CLU_1",2,"Rep2",0.470721555
2,"CLU_1",2,"Rep2",2.228485353
3,"CLU_1",2,"Rep2",-2.945342638
4,"CLU_1",2,"Rep2",-2.376798858
5,"CLU_1",2,"Rep2",0.688647913
6,"CLU_1",2,"Rep2",0.548454616
7,"CLU_1",2,"Rep2",-4.91068944
8,"CLU_1",2,"Rep2",-0.153745652
9,"CLU_1",2,"Rep2",-0.575744883
10,"CLU_1",2,"Rep2",-2.11103249
11,"CLU_1",2,"Rep2",-0.034043863
12,"CLU_1",2,"Rep2",-1.081725112
13,"CLU_1",2,"Rep2",-2.112281655
14,"CLU_1",2,"Rep2",3.40439009
15,"CLU_1",2,"Rep2",-4.084235416
16,"CLU_1",2,"Rep2",6.222840832
17,"CLU_1",2,"Rep2",0.210964646
18,"CLU_1",2,"Rep2",-0.375951068
19,"CLU_1",2,"Rep2",-2.167817078
20,"CLU_1",2,"Rep2",-0.612280169
1,"CLU_1",2,"Rep3",-2.737549823
2,"CLU_1",2,"Rep3",0.24314049
3,"CLU_1",2,"Rep3",-1.706721819
4,"CLU_1",2,"Rep3",2.16044469
5,"CLU_1",2,"Rep3",-5.983704133
6,"CLU_1",2,"Rep3",0.007174484
7,"CLU_1",2,"Rep3",-5.155213825
8,"CLU_1",2,"Rep3",-2.557496526
9,"CLU_1",2,"Rep3",-1.145591972
10,"CLU_1",2,"Rep3",-1.43289588
11,"CLU_1",2,"Rep3",0.323996391
12,"CLU_1",2,"Rep3",-2.585601827
13,"CLU_1",2,"Rep3",0.463290982
14,"CLU_1",2,"Rep3",-0.190082111
15,"CLU_1",2,"Rep3",-3.437691654
16,"CLU_1",2,"Rep3",3.247016766
17,"CLU_1",2,"Rep3",1.260320008
18,"CLU_1",2,"Rep3",-0.148126882
19,"CLU_1",2,"Rep3",-2.338555118
20,"CLU_1",2,"Rep3",-0.526851452
1,"CLU_1",2,"Rep4",-5.277289305
2,"CLU_1",2,"Rep4",-0.509481596
3,"CLU_1",2,"Rep4",-1.122483469
4,"CLU_1",2,"Rep4",1.280849583
5,"CLU_1",2,"Rep4",0.908577088
6,"CLU_1",2,"Rep4",0.162837652
7,"CLU_1",2,"Rep4",-0.691767372
8,"CLU_1",2,"Rep4",0.364517785
9,"CLU_1",2,"Rep4",0.906075984
10,"CLU_1",2,"Rep4",-0.320998562
11,"CLU_1",2,"Rep4",-0.914652141
12,"CLU_1",2,"Rep4",-0.4071113
13,"CLU_1",2,"Rep4",-0.994303046
14,"CLU_1",2,"Rep4",3.559684113
15,"CLU_1",2,"Rep4",-2.536619007
16,"CLU_1",2,"Rep4",2.798049784
17,"CLU_1",2,"Rep4",-3.195612772
18,"CLU_1",2,"Rep4",-0.887629373
19,"CLU_1",2,"Rep4",-1.648614277
20,"CLU_1",2,"Rep4",-0.081095733
1,"CLU_1",2,"Rep5",-1.986652831
2,"CLU_1",2,"Rep5",-1.35843774
3,"CLU_1",2,"Rep5",-0.009470936
4,"CLU_1",2,"Rep5",0.829172149
5,"CLU_1",2,"Rep5",3.628006082
6,"CLU_1",2,"Rep5",-2.271164035
7,"CLU_1",2,"Rep5",-4.689741063
8,"CLU_1",2,"Rep5",1.959000783
9,"CLU_1",2,"Rep5",-0.694792957
10,"CLU_1",2,"Rep5",-1.432504949
11,"CLU_1",2,"Rep5",1.679690464
12,"CLU_1",2,"Rep5",1.567516631
13,"CLU_1",2,"Rep5",-3.21697865
14,"CLU_1",2,"Rep5",-2.582278002
15,"CLU_1",2,"Rep5",-5.144419404
16,"CLU_1",2,"Rep5",0.441386354
17,"CLU_1",2,"Rep5",-4.725807771
18,"CLU_1",2,"Rep5",0.266926802
19,"CLU_1",2,"Rep5",-1.1752715
20,"CLU_1",2,"Rep5",0.239692791
1,"CLU_1",2,"Rep6",-7.914257599
2,"CLU_1",2,"Rep6",-3.277074702
3,"CLU_1",2,"Rep6",-2.772379673
4,"CLU_1",2,"Rep6",1.166018798
5,"CLU_1",2,"Rep6",6.105347925
6,"CLU_1",2,"Rep6",-3.810854671
7,"CLU_1",2,"Rep6",-3.115976864
8,"CLU_1",2,"Rep6",2.545526611
9,"CLU_1",2,"Rep6",0.131498974
10,"CLU_1",2,"Rep6",-0.73986042
11,"CLU_1",2,"Rep6",-1.604224812
12,"CLU_1",2,"Rep6",-2.800156337
13,"CLU_1",2,"Rep6",-4.197192075
14,"CLU_1",2,"Rep6",-1.119118865
15,"CLU_1",2,"Rep6",-5.453331856
16,"CLU_1",2,"Rep6",1.665116343
17,"CLU_1",2,"Rep6",0.028575558
18,"CLU_1",2,"Rep6",-2.816623139
19,"CLU_1",2,"Rep6",-2.329015826
20,"CLU_1",2,"Rep6",-1.405068508
1,"CLU_1",2,"Rep7",-0.488658594
2,"CLU_1",2,"Rep7",-2.472263492
3,"CLU_1",2,"Rep7",-2.47357165
4,"CLU_1",2,"Rep7",3.292396537
5,"CLU_1",2,"Rep7",4.01594574
6,"CLU_1",2,"Rep7",-2.019362776
7,"CLU_1",2,"Rep7",-4.60144059
8,"CLU_1",2,"Rep7",0.72694648
9,"CLU_1",2,"Rep7",-1.789052274
10,"CLU_1",2,"Rep7",-1.464865426
11,"CLU_1",2,"Rep7",-0.098864221
12,"CLU_1",2,"Rep7",-2.022869444
13,"CLU_1",2,"Rep7",-3.367419443
14,"CLU_1",2,"Rep7",-1.124517976
15,"CLU_1",2,"Rep7",-2.592234086
16,"CLU_1",2,"Rep7",6.343674906
17,"CLU_1",2,"Rep7",3.113499645
18,"CLU_1",2,"Rep7",-0.423543067
19,"CLU_1",2,"Rep7",-1.543171932
20,"CLU_1",2,"Rep7",-1.621865419
1,"CLU_1",2,"Rep8",0.866621628
2,"CLU_1",2,"Rep8",-5.749632493
3,"CLU_1",2,"Rep8",-4.521247156
4,"CLU_1",2,"Rep8",0.796750477
5,"CLU_1",2,"Rep8",6.9761114
6,"CLU_1",2,"Rep8",-0.415796085
7,"CLU_1",2,"Rep8",-2.760803004
8,"CLU_1",2,"Rep8",1.738630134
9,"CLU_1",2,"Rep8",0.511196799
10,"CLU_1",2,"Rep8",1.358749122
11,"CLU_1",2,"Rep8",-0.066085145
12,"CLU_1",2,"Rep8",-1.4300053
13,"CLU_1",2,"Rep8",-3.331564135
14,"CLU_1",2,"Rep8",6.650369143
15,"CLU_1",2,"Rep8",-5.719683255
16,"CLU_1",2,"Rep8",4.731280978
17,"CLU_1",2,"Rep8",0.833778687
18,"CLU_1",2,"Rep8",0.185171465
19,"CLU_1",2,"Rep8",-2.200158852
20,"CLU_1",2,"Rep8",-1.814929395
1,"CLU_1",2,"Rep9",1.165292891
2,"CLU_1",2,"Rep9",-5.018052826
3,"CLU_1",2,"Rep9",-3.457069136
4,"CLU_1",2,"Rep9",2.936822744
5,"CLU_1",2,"Rep9",6.328628306
6,"CLU_1",2,"Rep9",0.294107573
7,"CLU_1",2,"Rep9",-3.101033707
8,"CLU_1",2,"Rep9",0.752354319
9,"CLU_1",2,"Rep9",1.028236783
10,"CLU_1",2,"Rep9",-0.855141906
11,"CLU_1",2,"Rep9",-1.024161657
12,"CLU_1",2,"Rep9",-3.622615294
13,"CLU_1",2,"Rep9",-3.809803245
14,"CLU_1",2,"Rep9",-5.091473189
15,"CLU_1",2,"Rep9",-4.401128065
16,"CLU_1",2,"Rep9",0.575500777
17,"CLU_1",2,"Rep9",1.22271058
18,"CLU_1",2,"Rep9",-1.834890235
19,"CLU_1",2,"Rep9",-2.452771573
20,"CLU_1",2,"Rep9",-2.243353178
1,"CLU_1",3,"Rep1",0
2,"CLU_1",3,"Rep1",0
3,"CLU_1",3,"Rep1",0
4,"CLU_1",3,"Rep1",0
5,"CLU_1",3,"Rep1",0
6,"CLU_1",3,"Rep1",0
7,"CLU_1",3,"Rep1",0
8,"CLU_1",3,"Rep1",0
9,"CLU_1",3,"Rep1",0
10,"CLU_1",3,"Rep1",0
11,"CLU_1",3,"Rep1",0
12,"CLU_1",3,"Rep1",0
13,"CLU_1",3,"Rep1",0
14,"CLU_1",3,"Rep1",0
15,"CLU_1",3,"Rep1",0
16,"CLU_1",3,"Rep1",0
17,"CLU_1",3,"Rep1",0
18,"CLU_1",3,"Rep1",0
19,"CLU_1",3,"Rep1",0
20,"CLU_1",3,"Rep1",0
1,"CLU_1",3,"Rep2",-3.702549524
2,"CLU_1",3,"Rep2",2.901074056
3,"CLU_1",3,"Rep2",2.807334199
4,"CLU_1",3,"Rep2",-1.05843598
5,"CLU_1",3,"Rep2",0.879746665
6,"CLU_1",3,"Rep2",-0.145735522
7,"CLU_1",3,"Rep2",4.07488688
8,"CLU_1",3,"Rep2",-0.543638713
9,"CLU_1",3,"Rep2",1.929181099
10,"CLU_1",3,"Rep2",-1.185057085
11,"CLU_1",3,"Rep2",-0.085161975
12,"CLU_1",3,"Rep2",-1.336398082
13,"CLU_1",3,"Rep2",2.892364654
14,"CLU_1",3,"Rep2",0.074542598
15,"CLU_1",3,"Rep2",-5.220560118
16,"CLU_1",3,"Rep2",-2.047138859
17,"CLU_1",3,"Rep2",0.978735783
18,"CLU_1",3,"Rep2",-1.612153577
19,"CLU_1",3,"Rep2",-1.05267245
20,"CLU_1",3,"Rep2",-1.904470145
1,"CLU_1",3,"Rep3",1.187046569
2,"CLU_1",3,"Rep3",-2.420839038
3,"CLU_1",3,"Rep3",4.112232994
4,"CLU_1",3,"Rep3",-1.460602713
5,"CLU_1",3,"Rep3",-3.104541892
6,"CLU_1",3,"Rep3",3.371439808
7,"CLU_1",3,"Rep3",1.315642462
8,"CLU_1",3,"Rep3",-4.721469571
9,"CLU_1",3,"Rep3",0.307612776
10,"CLU_1",3,"Rep3",-0.94808071
11,"CLU_1",3,"Rep3",-0.100304202
12,"CLU_1",3,"Rep3",-1.493962428
13,"CLU_1",3,"Rep3",3.929168727
14,"CLU_1",3,"Rep3",-0.248033594
15,"CLU_1",3,"Rep3",-0.227714172
16,"CLU_1",3,"Rep3",-4.138385415
17,"CLU_1",3,"Rep3",-0.873177485
18,"CLU_1",3,"Rep3",-1.791876282
19,"CLU_1",3,"Rep3",-1.934301591
20,"CLU_1",3,"Rep3",-2.978002379
1,"CLU_1",3,"Rep4",4.183443786
2,"CLU_1",3,"Rep4",1.384134161
3,"CLU_1",3,"Rep4",-0.053016034
4,"CLU_1",3,"Rep4",-0.11705526
5,"CLU_1",3,"Rep4",-0.033568586
6,"CLU_1",3,"Rep4",-3.518687993
7,"CLU_1",3,"Rep4",3.480700554
8,"CLU_1",3,"Rep4",-0.213247461
9,"CLU_1",3,"Rep4",1.128284889
10,"CLU_1",3,"Rep4",0.404699579
11,"CLU_1",3,"Rep4",-3.759710606
12,"CLU_1",3,"Rep4",-0.351351559
13,"CLU_1",3,"Rep4",4.283272502
14,"CLU_1",3,"Rep4",-2.255603809
15,"CLU_1",3,"Rep4",-4.101893988
16,"CLU_1",3,"Rep4",-3.951784427
17,"CLU_1",3,"Rep4",-0.169660802
18,"CLU_1",3,"Rep4",1.695142871
19,"CLU_1",3,"Rep4",-1.267804878
20,"CLU_1",3,"Rep4",-4.65210289
1,"CLU_1",3,"Rep5",-6.289401942
2,"CLU_1",3,"Rep5",-2.501273463
3,"CLU_1",3,"Rep5",1.213520032
4,"CLU_1",3,"Rep5",-6.456606689
5,"CLU_1",3,"Rep5",-3.590926205
6,"CLU_1",3,"Rep5",-1.547027714
7,"CLU_1",3,"Rep5",-0.465675084
8,"CLU_1",3,"Rep5",-1.791870254
9,"CLU_1",3,"Rep5",3.355720027
10,"CLU_1",3,"Rep5",-1.826207397
11,"CLU_1",3,"Rep5",-0.420275129
12,"CLU_1",3,"Rep5",-2.402150797
13,"CLU_1",3,"Rep5",3.925013937
14,"CLU_1",3,"Rep5",-10.50227907
15,"CLU_1",3,"Rep5",-4.475829427
16,"CLU_1",3,"Rep5",-0.647520904
17,"CLU_1",3,"Rep5",0.18046299700000001
18,"CLU_1",3,"Rep5",0.028852156
19,"CLU_1",3,"Rep5",-4.031165848
20,"CLU_1",3,"Rep5",-2.586081778
1,"CLU_1",3,"Rep6",-7.180009147
2,"CLU_1",3,"Rep6",-0.470304233
3,"CLU_1",3,"Rep6",2.108126295
4,"CLU_1",3,"Rep6",-4.364950284
5,"CLU_1",3,"Rep6",-3.743641658
6,"CLU_1",3,"Rep6",3.50469587
7,"CLU_1",3,"Rep6",1.91019662
8,"CLU_1",3,"Rep6",-4.634797677
9,"CLU_1",3,"Rep6",1.731143537
10,"CLU_1",3,"Rep6",-1.528869942
11,"CLU_1",3,"Rep6",-1.805527853
12,"CLU_1",3,"Rep6",-1.758502241
13,"CLU_1",3,"Rep6",3.841287038
14,"CLU_1",3,"Rep6",-3.25679373
15,"CLU_1",3,"Rep6",-3.183186834
16,"CLU_1",3,"Rep6",-0.307537884
17,"CLU_1",3,"Rep6",2.93473863
18,"CLU_1",3,"Rep6",-0.074176271
19,"CLU_1",3,"Rep6",-1.784357711
20,"CLU_1",3,"Rep6",-0.907646616
1,"CLU_1",3,"Rep7",-5.723594533
2,"CLU_1",3,"Rep7",-1.837590643
3,"CLU_1",3,"Rep7",-1.873547641
4,"CLU_1",3,"Rep7",-3.59419007
5,"CLU_1",3,"Rep7",-1.364546195
6,"CLU_1",3,"Rep7",-0.492465998
7,"CLU_1",3,"Rep7",0.995214968
8,"CLU_1",3,"Rep7",0.643649037
9,"CLU_1",3,"Rep7",2.568360561
10,"CLU_1",3,"Rep7",-1.209806004
11,"CLU_1",3,"Rep7",-0.487631933
12,"CLU_1",3,"Rep7",-4.668081035
13,"CLU_1",3,"Rep7",7.184420065
14,"CLU_1",3,"Rep7",-0.918475245
15,"CLU_1",3,"Rep7",-5.701261899
16,"CLU_1",3,"Rep7",-4.721955684
17,"CLU_1",3,"Rep7",0.018098416
18,"CLU_1",3,"Rep7",-0.849827149
19,"CLU_1",3,"Rep7",-3.295648971
20,"CLU_1",3,"Rep7",-4.062444295
1,"CLU_1",3,"Rep8",-3.62144766
2,"CLU_1",3,"Rep8",-0.355087354
3,"CLU_1",3,"Rep8",1.078558693
4,"CLU_1",3,"Rep8",-1.076291063
5,"CLU_1",3,"Rep8",-2.976990872
6,"CLU_1",3,"Rep8",-2.40569971
7,"CLU_1",3,"Rep8",0.518229055
8,"CLU_1",3,"Rep8",1.134771168
9,"CLU_1",3,"Rep8",3.58734877
10,"CLU_1",3,"Rep8",-0.495372609
11,"CLU_1",3,"Rep8",-2.945215422
12,"CLU_1",3,"Rep8",-0.349453194
13,"CLU_1",3,"Rep8",2.889998001
